type,dayofweek,start,end
0,5,4.283333333333333,13.35
0,6,4.283333333333333,13.016666666666667
0,0,4.283333333333333,11.65
0,1,4.283333333333333,11.65
0,2,4.283333333333333,11.65
0,3,4.283333333333333,11.65
0,4,4.283333333333333,11.65
0,0,4.433333333333334,13.761111111111111
0,1,4.433333333333334,13.761111111111111
0,2,4.433333333333334,13.761111111111111
0,3,4.433333333333334,13.761111111111111
0,4,4.433333333333334,13.761111111111111
0,0,4.466666666666667,13.316666666666666
0,1,4.466666666666667,13.316666666666666
0,2,4.466666666666667,13.316666666666666
0,3,4.466666666666667,13.316666666666666
0,4,4.466666666666667,13.316666666666666
0,6,4.466666666666667,12.641666666666667
0,0,4.491666666666666,11.391666666666667
0,1,4.491666666666666,11.391666666666667
0,2,4.491666666666666,11.391666666666667
0,3,4.491666666666666,11.391666666666667
0,4,4.491666666666666,11.391666666666667
0,5,4.5,11.3
0,6,4.5,13.116666666666667
0,0,4.55,13.283333333333333
0,1,4.55,13.283333333333333
0,2,4.55,13.283333333333333
0,3,4.55,13.283333333333333
0,4,4.55,13.283333333333333
0,5,4.55,12.775
0,6,4.55,11.891666666666667
0,0,4.558333333333334,11.541666666666666
0,1,4.558333333333334,11.541666666666666
0,2,4.558333333333334,11.541666666666666
0,3,4.558333333333334,11.541666666666666
0,4,4.558333333333334,11.541666666666666
0,0,4.583333333333333,13.983333333333333
0,1,4.583333333333333,13.983333333333333
0,2,4.583333333333333,13.983333333333333
0,3,4.583333333333333,13.983333333333333
0,4,4.583333333333333,13.983333333333333
0,5,4.591666666666667,12.016666666666667
0,0,4.591666666666667,13.83611111111111
0,1,4.591666666666667,13.83611111111111
0,2,4.591666666666667,13.83611111111111
0,3,4.591666666666667,13.83611111111111
0,4,4.591666666666667,13.83611111111111
0,0,4.591666666666667,12.627777777777778
0,1,4.591666666666667,12.627777777777778
0,2,4.591666666666667,12.627777777777778
0,3,4.591666666666667,12.627777777777778
0,4,4.591666666666667,12.627777777777778
0,0,4.608333333333333,12.566666666666666
0,1,4.608333333333333,12.566666666666666
0,2,4.608333333333333,12.566666666666666
0,3,4.608333333333333,12.566666666666666
0,4,4.608333333333333,12.566666666666666
0,0,4.633333333333334,12.375
0,1,4.633333333333334,12.375
0,2,4.633333333333334,12.375
0,3,4.633333333333334,12.375
0,4,4.633333333333334,12.375
0,5,4.641666666666667,12.15
0,6,4.65,12.825
0,0,4.666666666666667,11.7
0,1,4.666666666666667,11.7
0,2,4.666666666666667,11.7
0,3,4.666666666666667,11.7
0,4,4.666666666666667,11.7
0,0,4.708333333333333,13.416666666666666
0,1,4.708333333333333,13.416666666666666
0,2,4.708333333333333,13.416666666666666
0,3,4.708333333333333,13.416666666666666
0,4,4.708333333333333,13.416666666666666
0,0,4.708333333333333,14.125
0,1,4.708333333333333,14.125
0,2,4.708333333333333,14.125
0,3,4.708333333333333,14.125
0,4,4.708333333333333,14.125
0,5,4.708333333333333,12.975
0,6,4.708333333333333,13.65
0,0,4.716666666666667,11.947222222222223
0,0,4.716666666666667,12.83611111111111
0,1,4.716666666666667,11.947222222222223
0,1,4.716666666666667,12.83611111111111
0,2,4.716666666666667,11.947222222222223
0,2,4.716666666666667,12.83611111111111
0,3,4.716666666666667,11.947222222222223
0,3,4.716666666666667,12.83611111111111
0,4,4.716666666666667,11.947222222222223
0,4,4.716666666666667,12.83611111111111
0,0,4.716666666666667,12.95
0,1,4.716666666666667,12.95
0,2,4.716666666666667,12.95
0,3,4.716666666666667,12.95
0,4,4.716666666666667,12.95
0,6,4.716666666666667,12.583333333333334
0,0,4.733333333333333,14.205555555555556
0,1,4.733333333333333,14.205555555555556
0,2,4.733333333333333,14.205555555555556
0,3,4.733333333333333,14.205555555555556
0,4,4.733333333333333,14.205555555555556
0,5,4.733333333333333,12.075
0,6,4.733333333333333,12.741666666666667
0,0,4.733333333333333,13.177777777777777
0,1,4.733333333333333,13.177777777777777
0,2,4.733333333333333,13.177777777777777
0,3,4.733333333333333,13.177777777777777
0,4,4.733333333333333,13.177777777777777
0,5,4.733333333333333,11.75
0,6,4.733333333333333,11.916666666666666
0,0,4.75,14.066666666666666
0,1,4.75,14.066666666666666
0,2,4.75,14.066666666666666
0,3,4.75,14.066666666666666
